Algorithm,Size,Time
O(1)_access_middle,1000,0.003000
O(1)_access_middle,10000,0.003000
O(1)_access_middle,100000,0.002000
O(1)_access_middle,1000000,0.003000
O(log_n)_lower_bound,1000,0.001000
O(log_n)_lower_bound,2000,0.001000
O(log_n)_lower_bound,3000,0.000000
O(log_n)_lower_bound,4000,0.001000
O(log_n)_lower_bound,5000,0.000000
O(n)_sum,1000,0.000000
O(n)_sum,10000,0.000000
O(n)_sum,100000,0.000000
O(n)_sum,500000,0.001000
O(n)_sum,1000000,0.002000
O(n)_sum,2000000,0.003000
O(n_log_n)_heapsort,1000,0.001000
O(n_log_n)_heapsort,5000,0.001000
O(n_log_n)_heapsort,10000,0.003000
O(n_log_n)_heapsort,50000,0.016000
O(n_log_n)_heapsort,100000,0.033000
O(n_log_n)_heapsort,200000,0.069000
O(n_log_n)_heapsort,500000,0.185000
O(n^2)_insertion_sort,100,0.000000
O(n^2)_insertion_sort,500,0.000000
O(n^2)_insertion_sort,1000,0.001000
O(n^2)_insertion_sort,2000,0.002000
O(n^2)_insertion_sort,3000,0.006000
O(n^2)_insertion_sort,5000,0.016000
O(n^2)_insertion_sort,7000,0.031000
O(n^2)_insertion_sort,10000,0.063000
